,DNA Test ID,DNA Sample Timestamp,Beach,DNA Sample 1 Reading,DNA Sample 2 Reading,DNA Reading Mean,Latitude,Longitude
176,10779.0,06/08/2019 11:50:00 AM,Oak Street,40.0,78.0,55.9,41.9032,-87.6235
177,10772.0,06/08/2019 11:47:00 AM,South Shore,1065.0,277.0,543.1,41.7689,-87.5636
178,10771.0,06/08/2019 11:46:00 AM,Rainbow,338.0,65.0,148.2,41.758,-87.551
179,10774.0,06/08/2019 11:47:00 AM,57th Street,66.0,90.0,77.1,41.7911,-87.5797
180,10784.0,06/08/2019 11:54:00 AM,Hartigan (Albion),63.0,65.0,64.0,42.0027,-87.6564
181,10782.0,06/08/2019 11:52:00 AM,Foster,115.0,74.0,92.2,41.9785,-87.6515
182,10775.0,06/08/2019 11:48:00 AM,Oakwood,98.0,92.0,95.0,41.8211,-87.5976
183,10773.0,06/08/2019 11:47:00 AM,63rd Street,569.0,55.0,176.9,41.7827,-87.5748
184,10781.0,06/08/2019 11:51:00 AM,Montrose,26.0,112.0,54.0,41.9655,-87.6385
185,10776.0,06/08/2019 11:48:00 AM,Margaret T Burroughs (31st),56.0,58.0,57.0,41.8393,-87.6072
186,10805.0,06/08/2019 11:55:00 AM,Leone,765.0,864.0,813.0,42.0131,-87.6635
187,10806.0,06/08/2019 11:56:00 AM,Marion Mahony Griffin (Jarvis),901.0,244.0,468.9,42.0161,-87.6647
188,10778.0,06/08/2019 11:49:00 AM,Ohio Street,13800.0,11230.0,12448.9,41.8935,-87.6152
191,10682.0,06/09/2019 11:42:00 AM,Rainbow,332.0,407.0,367.6,41.758,-87.551
192,10819.0,06/09/2019 11:48:00 AM,Rogers,209.0,145.0,174.1,42.0213,-87.6666
194,10826.0,06/09/2019 11:46:00 AM,Foster,85.0,30.0,50.5,41.9785,-87.6515
195,10683.0,06/09/2019 11:43:00 AM,South Shore,303.0,285.0,293.9,41.7689,-87.5636
196,10811.0,06/09/2019 11:44:00 AM,Oakwood,71.0,110.0,88.4,41.8211,-87.5976
197,10813.0,06/09/2019 11:44:00 AM,12th Street,4.0,12.0,6.9,41.8638,-87.6083
198,10829.0,06/09/2019 11:47:00 AM,Leone,219.0,149.0,180.6,42.0131,-87.6635
199,10828.0,06/09/2019 11:47:00 AM,Hartigan (Albion),137.0,340.0,215.8,42.0027,-87.6564
200,10817.0,06/09/2019 11:47:00 AM,Marion Mahony Griffin (Jarvis),399.0,185.0,271.7,42.0161,-87.6647
201,10814.0,06/09/2019 11:45:00 AM,Ohio Street,1522.0,1092.0,1289.2,41.8935,-87.6152
202,10816.0,06/09/2019 11:46:00 AM,Montrose,109.0,87.0,97.4,41.9655,-87.6385
203,10812.0,06/09/2019 11:44:00 AM,Margaret T Burroughs (31st),139.0,190.0,162.5,41.8393,-87.6072
204,10818.0,06/09/2019 11:47:00 AM,Howard,68.0,54.0,60.6,42.0188,-87.6663
205,10815.0,06/09/2019 11:45:00 AM,North Avenue,367.0,309.0,336.8,41.9148,-87.6273
206,10809.0,06/09/2019 11:41:00 AM,Calumet,597.0,652.0,623.9,41.7142,-87.5299
207,10810.0,06/09/2019 11:43:00 AM,57th Street,45.0,25.0,33.5,41.7911,-87.5797
208,10684.0,06/09/2019 11:43:00 AM,63rd Street,245.0,32.0,88.5,41.7827,-87.5748
209,10825.0,06/09/2019 11:45:00 AM,Oak Street,18.0,57.0,32.0,41.9032,-87.6235
210,10849.0,06/10/2019 12:08:00 PM,Oak Street,270.0,1110.0,547.4,41.9032,-87.6235
211,10756.0,06/10/2019 12:10:00 PM,Osterman,73.0,70.0,71.5,41.9877,-87.6545
216,10757.0,06/10/2019 12:10:00 PM,Marion Mahony Griffin (Jarvis),22.0,51.0,33.5,42.0161,-87.6647
218,10752.0,06/10/2019 12:05:00 PM,63rd Street,8.0,89.0,26.7,41.7827,-87.5748
219,10758.0,06/10/2019 12:11:00 PM,Howard,107.0,157.0,129.6,42.0188,-87.6663
220,10847.0,06/10/2019 12:07:00 PM,Margaret T Burroughs (31st),40.0,593.0,154.0,41.8393,-87.6072
221,10848.0,06/10/2019 12:07:00 PM,Ohio Street,636.0,133.0,290.8,41.8935,-87.6152
222,10792.0,06/10/2019 12:05:00 PM,South Shore,76.0,180.0,117.0,41.7689,-87.5636
223,10846.0,06/10/2019 12:05:00 PM,Rainbow,137.0,42.0,75.9,41.758,-87.551
224,10755.0,06/10/2019 12:09:00 PM,North Avenue,45.0,31.0,37.3,41.9148,-87.6273
225,10850.0,06/10/2019 12:09:00 PM,Montrose,147.0,163.0,154.8,41.9655,-87.6385
226,10845.0,06/10/2019 12:04:00 PM,Calumet,148.0,40.0,76.9,41.7142,-87.5299
