,Culture Test ID,Culture Sample 1 Timestamp,Beach,Culture Sample 1 Reading,Culture Sample 2 Reading,Culture Reading Mean,Latitude,Longitude,Sample Date,Sample Time
5077,93270.0,2015-07-08 00:00:00,Montrose,980.0,2420.0,1540.0,41.9655,-87.6385,2015-07-08,00:00:00
5079,111745.0,2014-05-29 00:00:00,Osterman,77.0,210.0,127.2,41.9877,-87.6545,2014-05-29,00:00:00
5080,97130.0,2012-07-27 00:00:00,Howard,15.8,16.1,15.9,42.0188,-87.6663,2012-07-27,00:00:00
5081,107279.0,2012-06-29 00:00:00,Osterman,461.1,686.7,562.7,41.9877,-87.6545,2012-06-29,00:00:00
5082,113828.0,2016-08-15 11:35:00,North Avenue,61.0,47.0,53.5,41.9148,-87.6273,2016-08-15,11:35:00
5083,113476.0,2016-07-22 06:59:00,Osterman,73.0,30.0,46.8,41.9877,-87.6545,2016-07-22,06:59:00
5084,96509.0,2011-07-13 00:00:00,Oakwood,816.4,579.4,687.8,41.8211,-87.5976,2011-07-13,00:00:00
5085,88489.0,2010-07-27 00:00:00,12th Street,73.3,101.4,86.2,41.8638,-87.6083,2010-07-27,00:00:00
5086,100824.0,2008-06-20 00:00:00,South Shore,3.1,4.1,3.6,41.7689,-87.5636,2008-06-20,00:00:00
5087,89873.0,2010-08-24 00:00:00,63rd Street,5.2,7.5,6.2,41.7827,-87.5748,2010-08-24,00:00:00
5091,113858.0,2016-08-16 10:25:00,Howard,53.0,48.0,50.4,42.0188,-87.6663,2016-08-16,10:25:00
5092,107988.0,2013-08-16 00:00:00,Montrose,50.0,40.0,44.7,41.9655,-87.6385,2013-08-16,00:00:00
5093,96798.0,2011-07-26 00:00:00,Ohio Street,16.0,7.3,10.8,41.8935,-87.6152,2011-07-26,00:00:00
5094,110805.0,2012-08-12 00:00:00,North Avenue,60.2,63.8,62.0,41.9148,-87.6273,2012-08-12,00:00:00
5095,112972.0,2016-06-20 09:15:00,Rainbow,32.0,228.0,85.4,41.758,-87.551,2016-06-20,09:15:00
5096,94622.0,2015-05-20 00:00:00,Calumet,649.0,488.0,562.8,41.7142,-87.5299,2015-05-20,00:00:00
5098,110425.0,2014-07-07 00:00:00,Montrose Dog,479.0,727.0,590.1,41.96869,-87.642617,2014-07-07,00:00:00
5099,98355.0,2006-08-17 00:00:00,Fargo,20.3,25.3,22.7,42.0161,-87.6647,2006-08-17,00:00:00
5100,99126.0,2007-08-07 00:00:00,Lane,116.9,116.2,116.5,41.9877,-87.6545,2007-08-07,00:00:00
5101,104904.0,2006-08-08 00:00:00,Juneway,112.4,99.0,105.5,42.0224,-87.6674,2006-08-08,00:00:00
5102,87492.0,2010-06-15 00:00:00,Howard,261.3,145.5,195.0,42.0188,-87.6663,2010-06-15,00:00:00
5103,91758.0,2009-07-08 00:00:00,57th Street,190.4,172.3,181.1,41.7911,-87.5797,2009-07-08,00:00:00
5104,88385.0,2010-07-22 00:00:00,63rd Street,29.1,25.3,27.1,41.7827,-87.5748,2010-07-22,00:00:00
5105,96181.0,2011-08-08 00:00:00,12th Street,770.1,248.1,437.1,41.8638,-87.6083,2011-08-08,00:00:00
5106,101508.0,2008-06-30 00:00:00,North Avenue,98.3,104.6,101.4,41.9148,-87.6273,2008-06-30,00:00:00
5107,98003.0,2006-08-10 00:00:00,North Avenue,22.8,13.5,17.5,41.9148,-87.6273,2006-08-10,00:00:00
5108,98044.0,2006-08-14 00:00:00,Calumet,125.9,131.4,128.6,41.7142,-87.5299,2006-08-14,00:00:00
5109,113866.0,2016-08-17 07:24:00,Oakwood,45.0,40.0,42.4,41.8211,-87.5976,2016-08-17,07:24:00
5110,113994.0,2016-08-24 10:00:00,Juneway,152.0,2420.0,606.5,42.0224,-87.6674,2016-08-24,10:00:00
5111,111241.0,2013-06-25 00:00:00,Juneway,23.0,23.0,23.0,42.0224,-87.6674,2013-06-25,00:00:00
5112,110005.0,2012-07-10 00:00:00,57th Street,165.8,110.6,135.4,41.7911,-87.5797,2012-07-10,00:00:00
5113,91779.0,2009-07-09 00:00:00,South Shore,131.4,77.6,101.0,41.7689,-87.5636,2009-07-09,00:00:00
5114,103228.0,2006-06-01 00:00:00,Juneway,12.1,35.0,20.6,42.0224,-87.6674,2006-06-01,00:00:00
5115,88375.0,2010-07-21 00:00:00,Osterman,6.3,10.9,8.3,41.9877,-87.6545,2010-07-21,00:00:00
5116,103795.0,2006-06-21 00:00:00,Oak Street,435.2,547.5,488.1,41.9032,-87.6235,2006-06-21,00:00:00
5117,97870.0,2006-07-17 00:00:00,12th Street,25.9,17.3,21.2,41.8638,-87.6083,2006-07-17,00:00:00
5119,107042.0,2013-08-01 00:00:00,57th Street,48.0,16.0,27.7,41.7911,-87.5797,2013-08-01,00:00:00
5120,98601.0,2007-06-11 00:00:00,57th Street,185.0,172.3,178.5,41.7911,-87.5797,2007-06-11,00:00:00
5121,92112.0,2009-08-27 00:00:00,12th Street,131.4,686.7,300.4,41.8638,-87.6083,2009-08-27,00:00:00
5122,93309.0,2015-07-10 00:00:00,Oak Street,3.0,9.0,5.2,41.9032,-87.6235,2015-07-10,00:00:00
5125,97576.0,2011-06-13 00:00:00,North Avenue,2.0,1.0,1.4,41.9148,-87.6273,2011-06-13,00:00:00
5126,94444.0,2015-08-05 00:00:00,Foster,82.0,96.0,88.7,41.9785,-87.6515,2015-08-05,00:00:00
5128,114006.0,2016-08-26 07:05:00,North Avenue,197.0,161.0,178.1,41.9148,-87.6273,2016-08-26,07:05:00
5129,88218.0,2010-06-04 00:00:00,57th Street,5.2,9.6,7.1,41.7911,-87.5797,2010-06-04,00:00:00
5130,104559.0,2006-06-14 00:00:00,Calumet,23.8,39.9,30.8,41.7142,-87.5299,2006-06-14,00:00:00
5132,107259.0,2012-06-28 00:00:00,Leone,20.1,14.2,16.9,42.0131,-87.6635,2012-06-28,00:00:00
5134,105666.0,2012-08-23 00:00:00,Foster,5.2,6.3,5.7,41.9785,-87.6515,2012-08-23,00:00:00
5136,90272.0,2011-06-28 00:00:00,Ohio Street,8.5,26.9,15.1,41.8935,-87.6152,2011-06-28,00:00:00
5137,103067.0,2007-06-27 00:00:00,57th Street,6.3,4.1,5.1,41.7911,-87.5797,2007-06-27,00:00:00
5138,95108.0,2015-06-01 00:00:00,Calumet,866.0,488.0,650.1,41.7142,-87.5299,2015-06-01,00:00:00
5139,93367.0,2015-07-13 00:00:00,South Shore,727.0,1986.0,1201.6,41.7689,-87.5636,2015-07-13,00:00:00
5141,112508.0,2012-08-03 00:00:00,Rainbow,24.6,27.9,26.2,41.758,-87.551,2012-08-03,00:00:00
5142,91356.0,2009-07-30 00:00:00,Osterman,137.6,150.7,144.0,41.9877,-87.6545,2009-07-30,00:00:00
5143,93806.0,2015-07-22 00:00:00,Ohio Street,548.0,3.0,40.5,41.8935,-87.6152,2015-07-22,00:00:00
5145,102374.0,2008-07-09 00:00:00,57th Street,21.8,15.8,18.6,41.7911,-87.5797,2008-07-09,00:00:00
5146,98862.0,2007-07-27 00:00:00,63rd Street,2419.6,2419.6,2419.6,41.7827,-87.5748,2007-07-27,00:00:00
5147,98804.0,2007-07-24 00:00:00,Lane,12.2,14.6,13.3,41.9877,-87.6545,2007-07-24,00:00:00
5148,88617.0,2010-08-02 00:00:00,Leone,1.0,1.0,1.0,42.0131,-87.6635,2010-08-02,00:00:00
5150,91221.0,2009-07-24 00:00:00,North Shore,40.8,33.6,37.0,42.0027,-87.6564,2009-07-24,00:00:00
5151,102703.0,2006-05-25 00:00:00,63rd Street,290.9,435.2,355.8,41.7827,-87.5748,2006-05-25,00:00:00
5153,93030.0,2015-07-02 00:00:00,Juneway,29.0,13.0,19.4,42.0224,-87.6674,2015-07-02,00:00:00
5155,104333.0,2006-08-01 00:00:00,Ohio Street,3.1,1.0,1.8,41.8935,-87.6152,2006-08-01,00:00:00
5156,97626.0,2011-06-15 00:00:00,Leone,96.0,36.8,59.4,42.0131,-87.6635,2011-06-15,00:00:00
5157,104427.0,2007-05-30 00:00:00,Oak Street,11.0,13.4,12.1,41.9032,-87.6235,2007-05-30,00:00:00
5158,101742.0,2007-08-31 00:00:00,63rd Street,260.3,307.6,283.0,41.7827,-87.5748,2007-08-31,00:00:00
5159,93900.0,2014-09-05 00:00:00,63rd Street,93.0,57.0,72.8,41.7827,-87.5748,2014-09-05,00:00:00
5160,112720.0,2016-06-02 06:37:00,North Avenue,228.0,138.0,177.4,41.9148,-87.6273,2016-06-02,06:37:00
5161,99858.0,2008-08-29 00:00:00,Rogers,10.8,12.1,11.4,42.0213,-87.6666,2008-08-29,00:00:00
5162,88893.0,2010-07-08 00:00:00,Oakwood,80.5,151.5,110.4,41.8211,-87.5976,2010-07-08,00:00:00
5163,101189.0,2008-08-06 00:00:00,Loyola,32.3,816.4,162.4,42.0131,-87.6635,2008-08-06,00:00:00
5164,105140.0,2012-08-17 00:00:00,57th Street,149.7,131.4,140.3,41.7911,-87.5797,2012-08-17,00:00:00
5165,106179.0,2013-07-27 00:00:00,57th Street,246.0,192.0,217.3,41.7911,-87.5797,2013-07-27,00:00:00
5166,102725.0,2006-05-26 00:00:00,Rainbow,21.6,12.1,16.2,41.758,-87.551,2006-05-26,00:00:00
5168,97652.0,2011-07-28 00:00:00,12th Street,178.2,313.0,236.2,41.8638,-87.6083,2011-07-28,00:00:00
5169,103967.0,2007-07-05 00:00:00,South Shore,307.6,68.3,144.9,41.7689,-87.5636,2007-07-05,00:00:00
5170,112179.0,2012-05-24 00:00:00,Oakwood,9.6,9.8,9.7,41.8211,-87.5976,2012-05-24,00:00:00
5171,113527.0,2016-07-26 08:50:00,Juneway,37.0,22.0,28.5,42.0224,-87.6674,2016-07-26,08:50:00
5172,95869.0,2015-07-30 00:00:00,Rogers,6.0,9.0,7.3,42.0213,-87.6666,2015-07-30,00:00:00
5173,101879.0,2009-06-02 00:00:00,Foster,488.4,198.9,311.7,41.9785,-87.6515,2009-06-02,00:00:00
5174,93571.0,2015-07-17 00:00:00,South Shore,30.0,27.0,28.5,41.7689,-87.5636,2015-07-17,00:00:00
5177,102236.0,2009-06-18 00:00:00,12th Street,73.8,37.9,52.9,41.8638,-87.6083,2009-06-18,00:00:00
5178,106771.0,2012-06-23 00:00:00,Leone,9.6,14.8,11.9,42.0131,-87.6635,2012-06-23,00:00:00
5180,104593.0,2006-06-15 00:00:00,North Avenue,5.2,1.0,2.3,41.9148,-87.6273,2006-06-15,00:00:00
5181,90328.0,2011-06-30 00:00:00,Rogers,9.6,3.1,5.5,42.0213,-87.6666,2011-06-30,00:00:00
5182,112991.0,2016-06-20 11:00:00,Juneway,1.0,2.0,1.4,42.0224,-87.6674,2016-06-20,11:00:00
5183,99845.0,2008-08-29 00:00:00,Oak Street,47.3,57.3,52.1,41.9032,-87.6235,2008-08-29,00:00:00
5184,88736.0,2010-06-30 00:00:00,Ohio Street,8.6,17.3,12.2,41.8935,-87.6152,2010-06-30,00:00:00
5185,113618.0,2016-08-02 08:10:00,63rd Street,12.0,20.0,15.5,41.7827,-87.5748,2016-08-02,08:10:00
5187,100393.0,2008-07-17 00:00:00,North Avenue,14.5,16.0,15.2,41.9148,-87.6273,2008-07-17,00:00:00
5188,113266.0,2016-07-09 10:30:00,Calumet,167.0,157.0,161.9,41.7142,-87.5299,2016-07-09,10:30:00
5189,113784.0,2016-08-11 08:30:00,Montrose,126.0,86.0,104.1,41.9655,-87.6385,2016-08-11,08:30:00
5191,88033.0,2010-05-25 00:00:00,Juneway,1.0,1.0,1.0,42.0224,-87.6674,2010-05-25,00:00:00
5192,92952.0,2014-08-13 00:00:00,57th Street,74.0,68.0,70.9,41.7911,-87.5797,2014-08-13,00:00:00
5193,96101.0,2011-08-04 00:00:00,Osterman,30.1,13.2,19.9,41.9877,-87.6545,2011-08-04,00:00:00
5194,102584.0,2009-06-08 00:00:00,Ohio Street,613.1,727.0,667.6,41.8935,-87.6152,2009-06-08,00:00:00
5195,102191.0,2008-08-21 00:00:00,Osterman,46.4,25.6,34.5,41.9877,-87.6545,2008-08-21,00:00:00
5197,90991.0,2009-07-14 00:00:00,North Shore,22.3,17.1,19.5,42.0027,-87.6564,2009-07-14,00:00:00
5198,88465.0,2010-07-26 00:00:00,63rd Street,88.4,127.4,106.1,41.7827,-87.5748,2010-07-26,00:00:00
5199,108969.0,2013-05-24 00:00:00,Oak Street,290.9,131.7,195.7,41.9032,-87.6235,2013-05-24,00:00:00
5200,110989.0,2014-06-20 00:00:00,Howard,11.0,8.0,9.4,42.0188,-87.6663,2014-06-20,00:00:00
5201,91744.0,2009-07-07 00:00:00,Osterman,67.0,45.0,54.9,41.9877,-87.6545,2009-07-07,00:00:00
5202,95857.0,2015-07-30 00:00:00,12th Street,12.0,14.0,13.0,41.8638,-87.6083,2015-07-30,00:00:00
5203,90448.0,2011-07-06 00:00:00,Ohio Street,39.3,4.1,12.7,41.8935,-87.6152,2011-07-06,00:00:00
5204,107257.0,2012-06-28 00:00:00,Osterman,20.3,10.8,14.8,41.9877,-87.6545,2012-06-28,00:00:00
5205,102421.0,2008-08-21 00:00:00,Loyola,24.9,35.0,29.5,42.0131,-87.6635,2008-08-21,00:00:00
5206,102233.0,2009-06-18 00:00:00,57th Street,13.2,7.5,9.9,41.7911,-87.5797,2009-06-18,00:00:00
5207,93818.0,2015-07-22 00:00:00,Juneway,7.0,8.0,7.5,42.0224,-87.6674,2015-07-22,00:00:00
5210,113792.0,2016-08-11 09:05:00,Juneway,3.0,9.0,5.2,42.0224,-87.6674,2016-08-11,09:05:00
5211,104855.0,2006-08-07 00:00:00,Calumet,249.5,410.6,320.1,41.7142,-87.5299,2006-08-07,00:00:00
5212,91924.0,2009-08-19 00:00:00,63rd Street,365.4,244.8,299.1,41.7827,-87.5748,2009-08-19,00:00:00
5213,108403.0,2014-06-10 00:00:00,Leone,26.0,19.0,22.2,42.0131,-87.6635,2014-06-10,00:00:00
5214,96862.0,2013-08-27 00:00:00,Rainbow,19.0,53.0,31.7,41.758,-87.551,2013-08-27,00:00:00
5215,102256.0,2009-06-19 00:00:00,57th Street,344.8,328.2,336.4,41.7911,-87.5797,2009-06-19,00:00:00
5216,113108.0,2016-06-28 10:30:00,North Avenue,101.0,130.0,114.6,41.9148,-87.6273,2016-06-28,10:30:00
5217,113761.0,2016-08-09 06:40:00,Montrose Dog,133.0,141.0,136.9,41.96869,-87.642617,2016-08-09,06:40:00
5220,109691.0,2014-07-01 00:00:00,Howard,101.0,89.0,94.8,42.0188,-87.6663,2014-07-01,00:00:00
5221,92946.0,2014-08-12 00:00:00,Rogers,525.0,816.0,654.5,42.0213,-87.6666,2014-08-12,00:00:00
5222,95290.0,2015-06-04 00:00:00,Ohio Street,25.0,107.0,51.7,41.8935,-87.6152,2015-06-04,00:00:00
5226,112240.0,2012-05-27 00:00:00,Calumet,67.7,86.0,76.3,41.7142,-87.5299,2012-05-27,00:00:00
5228,93614.0,2014-08-28 00:00:00,57th Street,67.0,91.0,78.1,41.7911,-87.5797,2014-08-28,00:00:00
5230,96855.0,2013-08-26 00:00:00,Leone,10.0,14.0,11.8,42.0131,-87.6635,2013-08-26,00:00:00
5231,100211.0,2008-07-24 00:00:00,Loyola,10.8,15.6,13.0,42.0131,-87.6635,2008-07-24,00:00:00
5232,98613.0,2007-06-11 00:00:00,North Shore,231.0,313.3,269.0,42.0027,-87.6564,2007-06-11,00:00:00
5233,108986.0,2013-05-25 00:00:00,57th Street,52.0,99.0,71.7,41.7911,-87.5797,2013-05-25,00:00:00
5234,101638.0,2009-06-16 00:00:00,North Avenue,113.7,387.3,209.8,41.9148,-87.6273,2009-06-16,00:00:00
5235,113616.0,2016-08-02 07:42:00,Rainbow,28.0,22.0,24.8,41.758,-87.551,2016-08-02,07:42:00
5237,88695.0,2010-08-06 00:00:00,Osterman,133.3,146.7,139.8,41.9877,-87.6545,2010-08-06,00:00:00
5239,99112.0,2007-08-07 00:00:00,Calumet,77.1,39.5,55.2,41.7142,-87.5299,2007-08-07,00:00:00
5240,92668.0,2014-08-06 00:00:00,12th Street,488.0,276.0,367.0,41.8638,-87.6083,2014-08-06,00:00:00
5241,111242.0,2013-06-26 00:00:00,Calumet,105.0,148.0,124.7,41.7142,-87.5299,2013-06-26,00:00:00
5243,101778.0,2008-08-13 00:00:00,Rainbow,111.2,55.2,78.3,41.758,-87.551,2008-08-13,00:00:00
5244,109451.0,2013-08-22 00:00:00,Rogers,16.0,17.0,16.5,42.0213,-87.6666,2013-08-22,00:00:00
5245,107703.0,2013-05-30 00:00:00,Montrose Dog,13.0,20.0,16.1,41.96869,-87.642617,2013-05-30,00:00:00
5246,92695.0,2014-08-07 00:00:00,Montrose Dog,29.0,40.0,34.1,41.96869,-87.642617,2014-08-07,00:00:00
5247,112506.0,2012-08-03 00:00:00,Calumet,116.9,166.4,139.5,41.7142,-87.5299,2012-08-03,00:00:00
5249,95137.0,2015-08-18 00:00:00,57th Street,25.0,28.0,26.5,41.7911,-87.5797,2015-08-18,00:00:00
5253,107038.0,2013-08-01 00:00:00,Calumet,206.0,88.0,134.6,41.7142,-87.5299,2013-08-01,00:00:00
5254,93446.0,2014-08-25 00:00:00,Rainbow,96.0,122.0,108.2,41.758,-87.551,2014-08-25,00:00:00
5255,107713.0,2013-05-31 00:00:00,Calumet,308.0,44.0,116.4,41.7142,-87.5299,2013-05-31,00:00:00
5256,112478.0,2013-07-18 00:00:00,Montrose,378.0,727.0,524.2,41.9655,-87.6385,2013-07-18,00:00:00
