,Culture Test ID,Culture Sample 1 Timestamp,Beach,Culture Sample 1 Reading,Culture Sample 2 Reading,Culture Reading Mean,Latitude,Longitude
5203,90448.0,07/06/2011 12:00:00 AM,Ohio Street,39.3,4.1,12.7,41.8935,-87.6152
5204,107257.0,06/28/2012 12:00:00 AM,Osterman,20.3,10.8,14.8,41.9877,-87.6545
5205,102421.0,08/21/2008 12:00:00 AM,Loyola,24.9,35.0,29.5,42.0131,-87.6635
5206,102233.0,06/18/2009 12:00:00 AM,57th Street,13.2,7.5,9.9,41.7911,-87.5797
5207,93818.0,07/22/2015 12:00:00 AM,Juneway,7.0,8.0,7.5,42.0224,-87.6674
5210,113792.0,08/11/2016 09:05:00 AM,Juneway,3.0,9.0,5.2,42.0224,-87.6674
5211,104855.0,08/07/2006 12:00:00 AM,Calumet,249.5,410.6,320.1,41.7142,-87.5299
5212,91924.0,08/19/2009 12:00:00 AM,63rd Street,365.4,244.8,299.1,41.7827,-87.5748
5213,108403.0,06/10/2014 12:00:00 AM,Leone,26.0,19.0,22.2,42.0131,-87.6635
5214,96862.0,08/27/2013 12:00:00 AM,Rainbow,19.0,53.0,31.7,41.758,-87.551
5215,102256.0,06/19/2009 12:00:00 AM,57th Street,344.8,328.2,336.4,41.7911,-87.5797
5216,113108.0,06/28/2016 10:30:00 AM,North Avenue,101.0,130.0,114.6,41.9148,-87.6273
5217,113761.0,08/09/2016 06:40:00 AM,Montrose Dog,133.0,141.0,136.9,41.96869,-87.642617
5220,109691.0,07/01/2014 12:00:00 AM,Howard,101.0,89.0,94.8,42.0188,-87.6663
5221,92946.0,08/12/2014 12:00:00 AM,Rogers,525.0,816.0,654.5,42.0213,-87.6666
5222,95290.0,06/04/2015 12:00:00 AM,Ohio Street,25.0,107.0,51.7,41.8935,-87.6152
5226,112240.0,05/27/2012 12:00:00 AM,Calumet,67.7,86.0,76.3,41.7142,-87.5299
5228,93614.0,08/28/2014 12:00:00 AM,57th Street,67.0,91.0,78.1,41.7911,-87.5797
5230,96855.0,08/26/2013 12:00:00 AM,Leone,10.0,14.0,11.8,42.0131,-87.6635
5231,100211.0,07/24/2008 12:00:00 AM,Loyola,10.8,15.6,13.0,42.0131,-87.6635
5232,98613.0,06/11/2007 12:00:00 AM,North Shore,231.0,313.3,269.0,42.0027,-87.6564
5233,108986.0,05/25/2013 12:00:00 AM,57th Street,52.0,99.0,71.7,41.7911,-87.5797
5234,101638.0,06/16/2009 12:00:00 AM,North Avenue,113.7,387.3,209.8,41.9148,-87.6273
5235,113616.0,08/02/2016 07:42:00 AM,Rainbow,28.0,22.0,24.8,41.758,-87.551
5237,88695.0,08/06/2010 12:00:00 AM,Osterman,133.3,146.7,139.8,41.9877,-87.6545
5239,99112.0,08/07/2007 12:00:00 AM,Calumet,77.1,39.5,55.2,41.7142,-87.5299
5240,92668.0,08/06/2014 12:00:00 AM,12th Street,488.0,276.0,367.0,41.8638,-87.6083
5241,111242.0,06/26/2013 12:00:00 AM,Calumet,105.0,148.0,124.7,41.7142,-87.5299
5243,101778.0,08/13/2008 12:00:00 AM,Rainbow,111.2,55.2,78.3,41.758,-87.551
5244,109451.0,08/22/2013 12:00:00 AM,Rogers,16.0,17.0,16.5,42.0213,-87.6666
5245,107703.0,05/30/2013 12:00:00 AM,Montrose Dog,13.0,20.0,16.1,41.96869,-87.642617
5246,92695.0,08/07/2014 12:00:00 AM,Montrose Dog,29.0,40.0,34.1,41.96869,-87.642617
5247,112506.0,08/03/2012 12:00:00 AM,Calumet,116.9,166.4,139.5,41.7142,-87.5299
5249,95137.0,08/18/2015 12:00:00 AM,57th Street,25.0,28.0,26.5,41.7911,-87.5797
5253,107038.0,08/01/2013 12:00:00 AM,Calumet,206.0,88.0,134.6,41.7142,-87.5299
5254,93446.0,08/25/2014 12:00:00 AM,Rainbow,96.0,122.0,108.2,41.758,-87.551
